CatalogNumber,Date,TradeDirection,ProductName,CompanyName,ContactPerson,Protein,TestWeight,FallingNumber,Quantity,DeliveryParity,LocationDetail,Price,Currency,GMP,ISCC,PublicNotes,PrivateNotes,,,,,,,,,,,,,,,,,,,,
148,19.2.2024,offer,soybeans,,Braňo,,,,,,,,,,,"soybeans non gmo, iscc, gmp, FCA Trebišov, 10-11/2024, 500-1000t",,,,,,,,,,,,,,,,,,,,,
149,19.2.2024,offer,rapeseed,,Braňo,,,,,,,,,,,"rapeseed, iscc, gmp, 40/9/2, FCA Trebišov, ex crop - 9/2024, 500t-1000t",,,,,,,,,,,,,,,,,,,,,
150,19.02.2024,offer,maize,,Braňo,,,,,,,,,,,"maize, non gmo, iscc, gmp, FCA Trebišov, 2-3/2024, 200t",,,,,,,,,,,,,,,,,,,,,
151,20.02.2024,offer,wheat,,Dušan,,,,,,,,,,,"wheat, 13,9/79/350, 48zeleny, 30,7gluten, 2100t, FCA Dunajská Streda +20km, 2-6/2024, 500t","2100t, Jahodná",,,,,,,,,,,,,,,,,,,,
152,20.02.2024,offer,wheat,,Dušan,,,,,,,,,,,"wheat, 13,6/80/350, 58zeleny, 29,6gluten, FCA Dunajská Streda+20km, 2-6/2024, 500t","1690t, Tomášikovo",,,,,,,,,,,,,,,,,,,,
153,20.02.2024,offer,wheat,,Dušan,,,,,,,,,,,"wheat, 15/81/380, 59zeleny, 34gluten, FCA Gabčíkovo, 2-6/2024, 500t","1600t, Gabčíkovo",,,,,,,,,,,,,,,,,,,,
154,20.02.2024,offer,wheat,,Dušan,,,,,,,,,,,"wheat, 13,5/79/320, 47zeleny, 29gluten, FCA Martin, 2-6/2024, 600t",600t,,,,,,,,,,,,,,,,,,,,
155,21.02.2023,offer,wheat,,Braňo,,,,,,,,,,,"wheat, 13/80/300, FCA Trnava+20km, 3-4/24, 400-450t",,,,,,,,,,,,,,,,,,,,,
156,22.02.2024,offer,durum,,Petro,,,,,,,,,,,"durum, 13/78/220/75, 5%GB, 7-9/2024, 275€/t, FCA Dun.Streda",Sunflower,,,,,,,,,,,,,,,,,,,,
157,23.02.2024,offer,wheat,,Milan,,,,,,,,,,,"wheat, 11/76/220, FCA Košice+20km, 500t, 3-4/2024, 172€/t",,,,,,,,,,,,,,,,,,,,,
158,27.02.2024,offer,durum,,Braňo,,,,,,,,,,,"durum, 13/78/250/75, FCA Topolčany+20km, 7-9/2024, 200t",,,,,,,,,,,,,,,,,,,,,
159,27.02.2024,offer,rapeseed ,,Braňo,,,,,,,,,,,"rapeseed, 40/9/2, ISCC, GMP, FCA Topolčany+20km, 7-10/2024, 410€/t",,,,,,,,,,,,,,,,,,,,,
160,27.02.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat ARKEOS, 100-150t, 10,5/76/220, FCA Pieštany+20km, 2-3/2024",,,,,,,,,,,,,,,,,,,,,
161,04.03.2024,offer,sunflower,,Peťo Petro,,,,,,,,,,,"sunflower seed L.O., FCA Nové Zámky, 3000t, 9-10/2024",Agronatur Jasová,,,,,,,,,,,,,,,,,,,,
162,04.03.2024,offer,spelt,,Milan,,,,,,,,,,,"spelt with hulls, 500t, FCA Krupina-SK+20km, 3-5/2024",,,,,,,,,,,,,,,,,,,,,
163,04.03.2024,offer,rapeseed,,Milan,,,,,,,,,,,"rapeseed, 40/9/2, iscc, gmp. 500t, FCA Kripina-SK+/-20km, 7-8/2024",,,,,,,,,,,,,,,,,,,,,
164,04.03.2024,offer,oats,,Milan,,,,,,,,,,,"BIO oats, 200t, 7-9/2024, FCA Krupina-SK+/-20km",,,,,,,,,,,,,,,,,,,,,
165,05.03.2024,offer,wheat,,Milan,,,,,,,,,,,"feedwheat, 72kg/HL, 150t, FCA Rimavská Sobota, 3/2024",,,,,,,,,,,,,,,,,,,,,
166,05.03.2024,offer,maize,,Milan,,,,,,,,,,,"maize, 300t, FCA Rimavská Sobota, 3-4/2024",,,,,,,,,,,,,,,,,,,,,
167,05.03.2024,offer,wheat,,Milan,,,,,,,,,,,"wheat 11,5/76/220, 300t, FCA Rimavská Sobota, 3-4/2024",,,,,,,,,,,,,,,,,,,,,
168,05.03.2024,offer,barley,,Milan,,,,,,,,,,,"barley, 62kg/HL, 600t, FCA Rimavská Sobota, 7-8/2024",,,,,,,,,,,,,,,,,,,,,
169,05.03.2024,offer,rapeseed,,Peťo Petro,,,,,,,,,,,"rapeseed, 40/9/2, iscc, gmp, FCA Michalovce-SK+/-20km, 1900t, 3-5/2024, 430€/t",,,,,,,,,,,,,,,,,,,,,
170,05.03.2024,offer,rapeseed,,Peťo Petro,,,,,,,,,,,"rapeseed, 40/9/2, iscc, gmp, FCA Sarospatak-SK+/-20km, 2000t, 3-5/2024, 440€/t",,,,,,,,,,,,,,,,,,,,,
171,11.03.2024,offer,BIO maize,,Milan,,,,,,,,,,,BIO maize,,,,,,,,,,,,,,,,,,,,,
172,11.03.2024,offer,BIO wheat,,Milan,,,,,,,,,,,BIO wheat,,,,,,,,,,,,,,,,,,,,,
173,11.03.2024,offer,BIO barley,,Milan,,,,,,,,,,,BIO barley,,,,,,,,,,,,,,,,,,,,,
174,11.03.2024,offer,peas,,Milan,,,,,,,,,,,"peas, green/yellow, feed, GMP+, 500t, FCA Lučenec-Rimavská Sobota area, 8/2024",,,,,,,,,,,,,,,,,,,,,
175,11.03.2024,offer,wheat,,Milan,,,,,,,,,,,"wheat feed, 1000t, FCA Lučenec+20km, 7-8/2024, 140-145€/t",,,,,,,,,,,,,,,,,,,,,
176,11.03.2024,offer,rapeseed,,Peťo Petro,,,,,,,,,,,"rapeseed, ISCC, GMP, 40/9/2, FCA Senec+30km, 425€/t, ex crop 2024",,,,,,,,,,,,,,,,,,,,,
177,11.03.2024,offer,rye,,Milan,,,,,,,,,,,"rye, Zlaté Moravce, 300t, 3-4/2024, 145€/t",Nemčiňany,,,,,,,,,,,,,,,,,,,,
178,18.03.2024,offer,barley,,Kristína,,,,,,,,,,,"barley, 62kg/HL, FCA Gabčíkovo-SK, 3-4/2024 800t",,,,,,,,,,,,,,,,,,,,,
179,08.04.2024,offer,wheat,,,,,,,,,,,,,"wheat, 13/77/250, FCA Martin, 600t, 4-5/2024, 185€/t",,,,,,,,,,,,,,,,,,,,,
180,08.04.2024,offer,wheat,,,,,,,,,,,,,"wheat, 12-12,5/77/250, FCA Martin, 600t, 4-5/2024, 185€/t",,,,,,,,,,,,,,,,,,,,,
181,08.04.2024,offer,wheat,,,,,,,,,,,,,"wheat 13/78/250/2, 7-8/24, FCA Šurany-SK+/-20km",,,,,,,,,,,,,,,,,,,,,
182,09.04.2024,offer,wheat,,,,,,,,,,,,,"wheat 12,5-13/76-78/250/2, 690t, 4-6/2024, FCA Partizánske-SK+/-20km",,,,,,,,,,,,,,,,,,,,,
183,09.04.2024,offer,wheat,,,,,,,,,,,,,"wheat 13/78/250/2, 1027t, 4-6/2024, FCA Partizánske-SK+/-20km",,,,,,,,,,,,,,,,,,,,,
184,09.04.2024,offer,wheat,,,,,,,,,,,,,"wheat 14/79/250/2, 857t, 4-6/2024, FCA Partizánske-SK+/-20km",,,,,,,,,,,,,,,,,,,,,
185,09.04.2024,offer,durum,,,,,,,,,,,,,"durum, 13/78/220/75, 6%GB, FCA Velký Krtíš, 7-8/2024, 7-9/2024, Price???",,,,,,,,,,,,,,,,,,,,,
186,09.04.2024,offer,barley,,,,,,,,,,,,,"barley, 62kg, GMP, FCA Šahy -250t, FCA Šurany - 250t, 4/24 - 15.06.2024, 142€/t",,,,,,,,,,,,,,,,,,,,,
187,09.04.2024,offer,wheat,,,,,,,,,,,,,"feedwheat, 72kg, iscc, gmp+, 500t, 7-8/2024, FCA Martin",,,,,,,,,,,,,,,,,,,,,
188,09.04.2024,offer,maize,,,,,,,,,,,,,"maize, 14,5/8/2, 50t, FCA Piešťany, 167€/t, promt",,,,,,,,,,,,,,,,,,,,,
189,10.04.2024,offer,wheat,,Peťo Petro,,,,,,,,,,,"wheat 14/78/300, 1000t, FCA Nové Zámky+20km, 4-6/2024, Price???",,,,,,,,,,,,,,,,,,,,,
190,11.04.2024,offer,durum,,,,,,,,,,,,,"durum 13/78/250/75, 6%GB, FCA Bratislava+20km, 277€/t, 7-8/2024, 1000t",,,,,,,,,,,,,,,,,,,,,
191,20.05.2024,offer,wheat,,Milan,,,,,,,,,,,"feedwheat 72kg,100t, FCA Lučenec-Rimavska Sob., 7-8/2024, 165€/t  ",,,,,,,,,,,,,,,,,,,,,
192,20.05.2024,offer,wheat,,Milan,,,,,,,,,,,"wheat, 13/78/250, FCA Detva, 7-10/2024, 500t, 216€/t",,,,,,,,,,,,,,,,,,,,,
193,20.05.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat 12%, 12,5%, 13%, 1000t, FCA Dunajská Streda, 7-9/2024, Staffelkontrakt",,,,,,,,,,,,,,,,,,,,,
194,20.05.2024,offer,rye,,Dušan,,,,,,,,,,,"Feedrye ISCC, GMP+, FCA Rudno-Dubové(Martin) - 257t, FCA Lipt.Silenica - 340t, 5/24-15.6.2024",,,,,,,,,,,,,,,,,,,,,
195,21.05.2024,offer,wheat,,Dušan,,,,,,,,,,,"Feedwheat 72kg, iscc, gmp+, 450t wheat, FCA Mošovce, 7-12/2024",,,,,,,,,,,,,,,,,,,,,
196,21.05.2024,offer,wheat,,Dušan,,,,,,,,,,,"Feedwheat 72kg, iscc, gmp+, 2500t, FCA Dubové(Martin) - 1500t till 12/2024, 1000t till 05/2025  ",,,,,,,,,,,,,,,,,,,,,
197,21.05.2024,offer,wheat,,Dušan,,,,,,,,,,,"Feedwheat 72kg, iscc, gmp, 600t, FCA Liptovská Sielnica, 8-10/2024    ",,,,,,,,,,,,,,,,,,,,,
198,21.05.2024,offer,wheat,,,,,,,,,,,,,"Feedwheat 72kg, iscc, gmp, 1850t, FOR Nitra, 8-12/2024 or 1-3/2025",,,,,,,,,,,,,,,,,,,,,
199,21.05.2024,offer,wheat,,,,,,,,,,,,,"Wheat, 12,5/77/250, iscc, gmp, 1850t, FOR Nitra, 8-12/2024 or 1-3/2025",,,,,,,,,,,,,,,,,,,,,
200,21.05.2024,offer,wheat,,,,,,,,,,,,,"Wheat, 13/78/250, iscc, gmp, 1850t, FOR Nitra, 8-12/2024 or 1-3/2025",,,,,,,,,,,,,,,,,,,,,
201,21.05.2024,offer,barley,,Milan,,,,,,,,,,,"Feedbarley, 62kg/HL, GMP+, 200t, FCA Detva+20km, 155€/t, 7-8/2024",,,,,,,,,,,,,,,,,,,,,
202,21.05.2024,offer,sunflower,,Milan,,,,,,,,,,,"sunflower blacl LO, 44/9/2, FCA Velký Krtíš +20km, 9-10/2024, Price???",,,,,,,,,,,,,,,,,,,,,.
203,23.05.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat, 11, 12,5, 13%, FCA Nové Mesto nad Váhom, 1850t, 9-11/2024",,,,,,,,,,,,,,,,,,,,,
204,27.05.2024,offer,durum,,Braňo,,,,,,,,,,,"durum, 1.000 t, fca TV , 9 až 10/24, 13/78/260/75, + deduction system, 310€/t",,,,,,,,,,,,,,,,,,,,,
205,27.05.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat, 50 až 75 t, 12/79/230, delivery asap, fca PN+20, 190€/t,",,,,,,,,,,,,,,,,,,,,,
206,27.05.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat 1.500 t, 11,5/76/220 al. 12,5/78/260, fca Nove Mesto nad Vahom, 8/24-10/24, 195 €/t and. 207 €/t,",,,,,,,,,,,,,,,,,,,,,
207,27.05.2024,offer,barley,,Braňo,,,,,,,,,,,"barley, 100t - 200t, 62kg/HL, FCA Levoča and Poprad, 8-9/24, 140€/t??.",,,,,,,,,,,,,,,,,,,,,
208,31.05.2024,offer,wheat,,Braňo,,,,,,,,,,,"feedwheat 72kg, iscc, gmp, 75t, FCA Trebišov+20km, 185€/t, promt",,,,,,,,,,,,,,,,,,,,,
209,31.05.2024,offer ,wheat,,Braňo,,,,,,,,,,,"wheat 12,5/77/250, 300t, FCA Trebišov+20km, promt, 200€/t",,,,,,,,,,,,,,,,,,,,,
210,31.05.2024,offer,wheat,,Braňo,,,,,,,,,,,"feedwheat crop 23, 72kg, iscc, gmp, 50t, FCA Piestany+20km, promt - 7/24, 187€/t",,,,,,,,,,,,,,,,,,,,,
211,31.05.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat, 15/78/300, FCA Nove Zamky+20km, 600t, 6-8/24",,,,,,,,,,,,,,,,,,,,,
212,31.05.2024,offer,durum,,Kristina,,,,,,,,,,,"durum, 13/78/250/75,6%GB, 300-400t, FCA Gabcikovo+20km, 9-12/24",,,,,,,,,,,,,,,,,,,,,
213,31.05.2024,offer,oats,,Braňo,,,,,,,,,,,"oats yellow, feed, 47kg, FCA Topolčany+20km, till 15.6.2024, 230€/t",,,,,,,,,,,,,,,,,,,,,
214,21.06.2024,offer,wheat,,Braňo,,,,,,,,,,,"offer wheat, 13/78/250, FCA Bratislava, 7-8/2024, 250€/t",,,,,,,,,,,,,,,,,,,,,
215,23.07.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat 12,5/77/250, 800t, FCA Nitra+20km, 207€/t, 7-8/2024","Igi, Palacka, Lubos, Jozo, Rainer, Johann, Marschall, Reindl, Sunflower, Andrej",,,,,,,,,,,,,,,,,,,,
216,23.07.2024,offer,oats,,Peťo,,,,,,,,,,,"oats yellow, feed, 43-45kg/HL, 100t, FCA Malacky+20km, 7-8/2024","Igi, Palacka, Lubos, Jozo, Rainer, Johann, Marschall, Reindl, Sunflower, Andrej",,,,,,,,,,,,,,,,,,,,
217,23.07.2024,offer,rye,,Peťo,,,,,,,,,,,"milling rye 70kg/HL, 400FN, 100t, FCA Malacky+20km, 7-8/2024","Igi, Palacka, Lubos, Jozo, Rainer, Johann, Marschall, Reindl, Sunflower, Andrej",,,,,,,,,,,,,,,,,,,,
218,23.07.2024,offer,durum,,BG,,,,,,,,,,,"durum 14,5/79/300/74, FCA Surany+20km, 100t, 7-8/2024",,,,,,,,,,,,,,,,,,,,,
219,23.07.2024,offer,wheat,,AB,,,,,,,,,,,"feedwheat, 300t, iscc, gmp, 72kg/HL, bis 15.8.2024, FCA Senec+20km",,,,,,,,,,,,,,,,,,,,,
220,23.07.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat 11/76/220, 1500don, 300-400t, FCA Trebišov+20km",,,,,,,,,,,,,,,,,,,,,
221,23.07.2024,offer,durum,,Peťo,,,,,,,,,,,"durum, 12/78/230/75, 300-400t, FCA Trebišov+20km",,,,,,,,,,,,,,,,,,,,,
222,23.07.2024,offer,durum,,Braňo,,,,,,,,,,,"durum + soft wheat 10%, 13/78, FCA Rimavská Seč, 1000t,?",,,,,,,,,,,,,,,,,,,,,
223,24.07.2024,offer,wheat,,Mračno,,,,,,,,,,,"wheat 12/76/220, 150t, FCA Bojničky, 7-8/2024, 195€/t",,,,,,,,,,,,,,,,,,,,,
224,24.07.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat 11/76/220, 1000t, FCA Michalovce+25km, 8-9/2024",,,,,,,,,,,,,,,,,,,,,
225,24.07.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat 13-14/78/250, 1000t, FCA Michalovce+25km, 8-9/2024",,,,,,,,,,,,,,,,,,,,,
226,24.07.2024,offer,maize,,Peťo,,,,,,,,,,,"maize, 2000t, 10-12/2024, FCA Michalovce+25km",,,,,,,,,,,,,,,,,,,,,
227,24.07.2024,offer,soybeans,,Peťo,,,,,,,,,,,"soybeans non gmo, iscc, gmp, FCA Michalovce+25km, ex crop 2024, 500-1000t",,,,,,,,,,,,,,,,,,,,,
228,25.07.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat SACRAMENTO 11,5-12,5/74-76/400, 8-10/2024, 600t",,,,,,,,,,,,,,,,,,,,,
229,25.07.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat Genius 1400t, 12,6-15,8/77-80/310-400, 45-55Zeleny, FCA Zlate Moravce, 8/2024",,,,,,,,,,,,,,,,,,,,,
230,25.07.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat Hivento 1100t, 10,8-13/73-79/300, 42-50Zeleny, FCA Zlate Moravce, 8/2024",,,,,,,,,,,,,,,,,,,,,
231,25.07.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat Chiron 350t, 11,3-11,8/74-78/360, 39-43Zeleny, FCA Zlate Moravce, 8/2024",,,,,,,,,,,,,,,,,,,,,
232,25.07.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat Centurion 500t, 9,5-10,2/76/78/280-320, 29-33Zeleny, FCA Zlate Moravce, 8/2024",,,,,,,,,,,,,,,,,,,,,
233,26.07.2024,offer,durum,,Dusan,,,,,,,,,,,"durum, Sambadur, 12/80/230/74, 24,5pigment, 800t, FCA Hlohovec-Topolcany, 280€/t",,,,,,,,,,,,,,,,,,,,,
234,08.08.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat, 12/75/220, FCA Levice+20km, 200t, 8/2024",,,,,,,,,,,,,,,,,,,,,
235,08.08.2024,offer,wheat,,Coufal,,,,,,,,,,,"wheat, 11,5-12/80/300, FCA Rim.Sobota, 100t, 8/24",,,,,,,,,,,,,,,,,,,,,
236,03.09.2024,offer,durum,,Peťo,,,,,,,,,,,"durum, 12/78/250/80, FCA Trebišov, 300t, 9/2024",,,,,,,,,,,,,,,,,,,,,
237,03.09.2024,offer,durum,,Maxim,,,,,,,,,,,"durum, 12,5/78/230/55-80, FCA Michalovce, 1000t, 9/24",,,,,,,,,,,,,,,,,,,,,
238,03.09.2024,offer,wheat,,Ondro,,,,,,,,,,,"wheat 12,5/78/250, FCA Trnava+20km, 400t, 200-205€/t, 9/2024",,,,,,,,,,,,,,,,,,,,,
239,03.09.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat 11/76/220, FCA Velký Meder, 500t, 9/2024",,,,,,,,,,,,,,,,,,,,,
240,03.09.2024,offer,wheat,,Igi,,,,,,,,,,,"wheat, 14/78/300, 500t, 9-10/2024, FCA Fiľakovo+20km, 245€/t",,,,,,,,,,,,,,,,,,,,,
241,03.09.2024,offer,wheat,,Coufal,,,,,,,,,,,"wheat 12,5/77/250, 200t, FCA Nitra+20km, 191€/t, 9/2024",,,,,,,,,,,,,,,,,,,,,
242,03.09.2024,offer,wheat,,Ondro,,,,,,,,,,,"wheat 12,5/77/250, FCA Rim.Sobota, 400t, 9-10/24",,,,,,,,,,,,,,,,,,,,,
243,03.09.2024,offer,wheat,,Dušan,,,,,,,,,,,"wheat, 72kg, iscc, 1000t, FCA Hlohovec, 9-11/24, 172-173€/t",,,,,,,,,,,,,,,,,,,,,
244,03.09.2024,offer,wheat,,Peťo,,,,,,,,,,,"wheat 12-13/78/250, 600t FCA TT+20km, 196-197 eur, september, oktober","Malženice, Trebatice",,,,,,,,,,,,,,,,,,,,
245,10.10.2024,offer,durum,,Braňo,,,,,,,,,,,"durum 14/78/250/75, FCA Leopoldov+20km, 10/2024 - 15.11.2024, 50t, 280€/t","FCA Madunice, môžem to zavrieť aj za 270€/t",,,,,,,,,,,,,,,,,,,,
246,11.10.2024,offer,maize,,David,,,,,,,,,,,"1.indicative offer maize SK origin, non GMO, GMP, ISCC, 14,5/8/2, 3000don, 5afla, 215€/t, FCA Dunajská Streda +25km",FCA Sokolce,,,,,,,,,,,,,,,,,,,,
247,11.10.2024,offer,maize,,David,,,,,,,,,,,"2.indicative offer maize SK origin, non GMO, GMP, ISCC, 14,5/8/2, 3000don, 5afla, 215€/t, FCA Rimavská Sobota +15km",FCA Ožďany,,,,,,,,,,,,,,,,,,,,
248,11.10.2024,offer,wheat,,Coufal,,,,,,,,,,,"3.indicative offer 12/76/220, FCA Vráble+20km, 1-2/25, 210€/t, 250-500t",,,,,,,,,,,,,,,,,,,,,
249,11.10.2024,offer,wheat,,Certansky,,,,,,,,,,,"4.wheat 11%/76/220, 400t FCA Levice+25km, 10-11/2024, iscc, gmp",,,,,,,,,,,,,,,,,,,,,
250,11.10.2024,offer,wheat,,Coufal,,,,,,,,,,,"5.wheat Arkeos, 9,7/77,5/336, 225t, FCA Nové Mesto n.Váhom, 220€/t, 11/2024",,,,,,,,,,,,,,,,,,,,,
251,11.10.2024,offer,durum,,Braňo,,,,,,,,,,,"6.Durum, 13/78/230/75, 200t, FCA Nitra+20km, 10-11/2024, 10-11/2024, 270€/t",,,,,,,,,,,,,,,,,,,,,
252,11.10.2024,offer,durum,,Braňo,,,,,,,,,,,"7.Durum, 13,5/80/230/75, 125t, FCA Komárno+20km, 10-11/2024, ???€/t",,,,,,,,,,,,,,,,,,,,,
253,11.10.2024,offer,maize,,Alenka,,,,,,,,,,,"8.Maize, 14,5/8/2, iscc, gmp, 700t, FCA Nové Zámky+20km, 11-12/2024",,,,,,,,,,,,,,,,,,,,,
254,11.10.2024,offer,sorghum,,Alenka,,,,,,,,,,,"9.sorghum red, 15%moisture, 420t, FCA Nové Zámky+20km, 11-12/2024",,,,,,,,,,,,,,,,,,,,,
255,11.10.2024,offer,durum,,Coufal,,,,,,,,,,,"10.durum, 14/75/220/75, FCA Velký Krtíš+20km, 500t",FCA Sklabiná,,,,,,,,,,,,,,,,,,,,
256,16.11.2024,offer,wheat,,Peťo,,,,,,,,,,,"11.feedwheat, 150t, FCA Nitra+20km, 10/24-15.11.2024",,,,,,,,,,,,,,,,,,,,,
257,16.11.2024,offer,wheat,,Braňo,,,,,,,,,,,"12.feedwheat, 100t, FCA Zvolen, 10/24, 180€/t",,,,,,,,,,,,,,,,,,,,,
258,21.10.2024,offer,maize,,Ondrej,,,,,,,,,,,"13.kukurica, 300t, FCA Sládkovičovo, 11/24, 14,5/8/2, 1250don, 5ppb",,,,,,,,,,,,,,,,,,,,,
259,28.10.2024,offer,maize,,Braňo,,,,,,,,,,,"15.inidative offer maize, 14,5/8/2, iscc,gmp, FCA Vráble, 150-200t, till 15.11.2024, 205€/t",,,,,,,,,,,,,,,,,,,,,
260,28.10.2024,offer,wheat,,coufal,,,,,,,,,,,"16.indicative offer, wheat 13/78/250, 50t, FCA Myjava+30km, promt - 11/25  ",FCA Podbranč,,,,,,,,,,,,,,,,,,,,
261,28.10.2024,offer,wheat,,coufal,,,,,,,,,,,"17.indicative offer, wheat 12,5/77/230, 50t, FCA Kolarovo+20km, promt - 11/25 ",,,,,,,,,,,,,,,,,,,,,
262,28.10.2024,offer,durum,,Braňo,,,,,,,,,,,"18.indicative offer durum 14/82/250/80, FCA Nitra +40km, 1-4/2025, 292€/t",,,,,,,,,,,,,,,,,,,,,
263,28.10.2024,offer,wheat,,Dušan,,,,,,,,,,,"19.indicative offer wheat 12/76/220, FCA Sala+20km, 11/2024, 210€/t",,,,,,,,,,,,,,,,,,,,,
264,04.11.2024,offer,maize,,Sylvia,,,,,,,,,,,"20.indicative offer maize, 14,5/8/2, gmp, iscc, FCA Levice+20km, 11-12/2024, 2000t",,,,,,,,,,,,,,,,,,,,,
265,04.11.2024,offer,barley,,Peťo Petro,,,,,,,,,,,"21.indicative offer, feedbarley 62kg/HL, 175-200t, FCA Senec+20km, 11/2024, 173€/t",,,,,,,,,,,,,,,,,,,,,
266,04.11.2024,offer,wheat,,Peťo Petro,,,,,,,,,,,"22.indicative offer, wheat 12/76/220, FCA Dvory n.Žitavou+20km, 11/2024",,,,,,,,,,,,,,,,,,,,,
267,04.11.2024,offer,wheat,,Ondrej,,,,,,,,,,,"23.indicative offer, wheat 12,5/78/250, FCA Bánovce n.Bebravou, 200t, 11-12/2024",,,,,,,,,,,,,,,,,,,,,
268,05.11.2024,offer,wheat,,Ondrej,,,,,,,,,,,"24.indicative offer, wheat 13/78/250, FCA Bánovce n.Bebravou, 200t, 11-12/2024",,,,,,,,,,,,,,,,,,,,,
269,05.11.2024,offer,rapeseed,,Braňo,,,,,,,,,,,"25.indicative offer, rapeseed, 100-150t, FCA Topolčany, 1/25, 548€/t",,,,,,,,,,,,,,,,,,,,,
270,06.11.2024,offer,sorghum,,Miki,,,,,,,,,,,"26.indicative offer, white sorghum 15%moisture, 500-1000t, FCA Nitra, 11-12/2024, ???€/t",,,,,,,,,,,,,,,,,,,,,
271,11.11.2024,offer,wheat,,Miki,,,,,,,,,,,"27.indicative offer, wheat, 11/80/220, 800t, FCA Nitra+20km, 1-2/2025",Ivánka p.Nitre,,,,,,,,,,,,,,,,,,,,
272,11.11.2024,offer,durum,,Miki,,,,,,,,,,,"28.indicative offer, durum, 12,5-13/78/220/55-60, 200t, 1-2/2025, FCA Nitra+20km",Ivánka p.Nitre,,,,,,,,,,,,,,,,,,,,
273,13.11.2024,offer,barley,,Ondrej,,,,,,,,,,,"29.indicative offer, feedbarley, 62kg/HL, gmp+, 1250don, FCA Brno+20km, 11/24 - 13.12.2024 no extention. 300t, 178€/t",,,,,,,,,,,,,,,,,,,,,
274,14.11.2024,offer,durum,,Braňo ,,,,,,,,,,,"30.indicative offer, Durum, 25t, 14/75/230/75, 6%GB, FCA Nitra+20km, promt, 260€/t",,,,,,,,,,,,,,,,,,,,,
275,18.11.2024,offer,wheat,,Dušan,,,,,,,,,,,"31.indicative offer, wheat, 12/76/220, FCA Diakovce, 11-12/24 or 1-2/25, 207€/t, 200t.",,,,,,,,,,,,,,,,,,,,,
276,18.11.2024,offer,maize,,Coufal,,,,,,,,,,,"32.indicative offer, maize, iscc, gmp, FCA Šurany+20km, 11-12/2024, 200t",Dolný Oháj,,,,,,,,,,,,,,,,,,,,
277,18.11.2024,offer,maize,,Coufal,,,,,,,,,,,"33.indicative offer, maize, iscc, gmp, FCA Nové Zámky+20km, 11-12/2024, 1000t",,,,,,,,,,,,,,,,,,,,,
278,20.11.2024,offer,wheat,,Burdy,,,,,,,,,,,"34.indicative offer, feedwheat 72kg/HL, 500t, iscc, gmp, FCA Zlín area-CZ, 1Q/2025",192€/t Osadkowski,,,,,,,,,,,,,,,,,,,,
279,20.11.2024,offer,wheat,,Burdy,,,,,,,,,,,"35.indicative offer, millingwheat, 12/76/220, FCA Mikulov-CZ, 700t, 1.Q/2025",,,,,,,,,,,,,,,,,,,,,
280,20.11.2024,offer,wheat,,Sylvia,,,,,,,,,,,"36.indicative offer, millingwheat, 12,5/77/230, FCA Zlaté Moravce+20km, 175t, 1/2025",,,,,,,,,,,,,,,,,,,,,
281,20.11.2024,offer,sunflower,,Miki,,,,,,,,,,,"37.indicative offer, sunflower LO, 270t, FCA Nitra+20km, 11/24 - 3/25",,,,,,,,,,,,,,,,,,,,,
282,20.11.2024,offer,wheat,,Peto Kalnai,,,,,,,,,,,"37.indicative offer, millingwheat, 12,5/77/230, FCA Nitra, 500t, 11/24-13.12.2024, 225€/t",,,,,,,,,,,,,,,,,,,,,
283,20.11.2024,offer,wheat,,Juričák,,,,,,,,,,,"38.indicative offer, feedwheat 72kg/HL, after fumigation, dead insects inside!!!, GMP, ISCC, 50t, promt, FCA Havlíčkuv Brod-CZ, 4750Kc/t",,,,,,,,,,,,,,,,,,,,,
284,20.11.2024,offer,maize,,Ondrej,,,,,,,,,,,"34.indicative offer, maize, iscc, gmp, FCA Bratislava, 200t, promt",,,,,,,,,,,,,,,,,,,,,
285,20.11.2024,offer,sunflower,,Ondrej,,,,,,,,,,,"35.indicative offer, sunflower striped, FCA Bratislava, 150t, 1Q/2025",,,,,,,,,,,,,,,,,,,,,
286,20.11.2024,offer,barley,,Braňo,,,,,,,,,,,"36.indicative offer, feedbarley, 67kg/HL, GMP, 1250don, FCA Trnava+20km, 180€/t, 12/2024 - 1/2025",,,,,,,,,,,,,,,,,,,,,
